Datum;Buchungstext;Betrag;Saldo;Valuta
16.02.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 14.02.2023 12:30 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;83555.25;14.02.23
15.02.23;Addebito TWINT SBB EasyRide App 0400001173055544;-6.10;83564.75;15.02.23
15.02.23;Eft-Pos - Denner Regensdorf, Regensdorf - 13.02.2023 17:42 - N. di carta xxxxxxxxxxxx4476 - 32.25 CHF;-32.25;83570.85;13.02.23
14.02.23;Belastung LSV;-12.25;83603.10;14.02.23
14.02.23;Eft-Pos - Coop-1506 Regensdorf, Regensdorf - 11.02.2023 17:31 - N. di carta xxxxxxxxxxxx4476 - 38.35 CHF;-38.35;83615.35;11.02.23
14.02.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 11.02.2023 17:58 - N. di carta xxxxxxxxxxxx4476 - 70.60 CHF;-70.60;83653.70;11.02.23
14.02.23;Eft-Pos - Migros MM Regensdorf, Regensdorf - 10.02.2023 19:35 - N. di carta xxxxxxxxxxxx4476 - 23.50 CHF;-23.50;83724.30;10.02.23
14.02.23;Eft-Pos - Muller Handels AG Schwei, Regensdorf - 10.02.2023 19:38 - N. di carta xxxxxxxxxxxx4476 - 2.20 CHF;-2.20;83747.80;10.02.23
10.02.23;Verg�tung;-10.00;83750.00;10.02.23
09.02.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 07.02.2023 12:58 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;83760.00;07.02.23
08.02.23;Addebito TWINT SBB EasyRide App 0400001160241439;-6.10;83768.50;08.02.23
08.02.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 06.02.2023 13:10 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;83774.60;06.02.23
08.02.23;Eft-Pos - Coop-5629 ZH Vulkanstras, Zurich - 06.02.2023 13:27 - N. di carta xxxxxxxxxxxx4476 - 1.40 CHF;-1.40;83783.10;06.02.23
07.02.23;Addebito TWINT SBB EasyRide App 0400001158378708;-6.10;83784.50;07.02.23
07.02.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 04.02.2023 18:21 - N. di carta xxxxxxxxxxxx4476 - 23.05 CHF;-23.05;83790.60;04.02.23
07.02.23;Eft-Pos - Coop-2572 Regensdorf/Rag, Regensdorf - 04.02.2023 17:59 - N. di carta xxxxxxxxxxxx4476 - 282.45 CHF;-282.45;83813.65;04.02.23
06.02.23;Zahlungseingang;200.00;84096.10;06.02.23
06.02.23;Addebito TWINT SBB EasyRide App 0400001155292418;-2.30;83896.10;05.02.23
02.02.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 31.01.2023 12:15 - N. di carta xxxxxxxxxxxx4476 - 6.00 CHF;-6.00;83898.40;31.01.23
01.02.23;Addebito TWINT Post CH AG 0400001148290285;-9.25;83904.40;01.02.23
01.02.23;Addebito TWINT SBB EasyRide App 0400001147115385;-6.10;83913.65;01.02.23
01.02.23;Belastung LSV;-7.00;83919.75;01.02.23
31.01.23;Belastung LSV;-328.30;83926.75;31.01.23
31.01.23;Verg�tung;-76.45;84255.05;31.01.23
31.01.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 28.01.2023 17:22 - N. di carta xxxxxxxxxxxx4476 - 161.30 CHF;-161.30;84331.50;28.01.23
30.01.23;Verg�tung;-1000.00;84492.80;30.01.23
30.01.23;Addebito TWINT SBB EasyRide App 0400001139824153;-3.40;85492.80;28.01.23
26.01.23;Addebito TWINT Ogg The Farmer 0400001137017182;-3.00;85496.20;26.01.23
26.01.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 24.01.2023 12:19 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;85499.20;24.01.23
25.01.23;Addebito TWINT SBB EasyRide App 0400001133234533;-6.10;85507.70;25.01.23
24.01.23;Pagamento stipendio Cembra Money Bank AG;6939.00;85513.80;24.01.23
24.01.23;Eft-Pos - MCDONALDS RESTAURANT, SCHLIEREN - 21.01.2023 11:53 - N. di carta xxxxxxxxxxxx4476 - 37.50 CHF;-37.50;78574.80;21.01.23
20.01.23;Dauerauftrag;-1090.00;78612.30;20.01.23
19.01.23;Addebito TWINT Busson, Christophe, +41792693507 0400001123772829;-7.00;79702.30;19.01.23
19.01.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 17.01.2023 12:09 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;79709.30;17.01.23
18.01.23;Addebito TWINT SBB EasyRide App 0400001121277239;-6.10;79717.80;18.01.23
18.01.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 16.01.2023 13:10 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;79723.90;16.01.23
17.01.23;Addebito TWINT SBB EasyRide App 0400001119636825;-6.10;79732.40;17.01.23
17.01.23;Eft-Pos - Migros MM Regensdorf, Regensdorf - 14.01.2023 17:28 - N. di carta xxxxxxxxxxxx4476 - 80.00 CHF;-80.00;79738.50;14.01.23
17.01.23;Eft-Pos - Coop-2572 Regensdorf/Rag, Regensdorf - 13.01.2023 18:27 - N. di carta xxxxxxxxxxxx4476 - 101.35 CHF;-101.35;79818.50;13.01.23
16.01.23;Belastung LSV;-29.30;79919.85;16.01.23
13.01.23;Eft-Pos - Ooki Pavillon AG, Zurich - 11.01.2023 21:05 - N. di carta xxxxxxxxxxxx4476 - 59.00 CHF;-59.00;79949.15;11.01.23
12.01.23;Addebito TWINT SBB EasyRide App 0400001111159053;-6.10;80008.15;12.01.23
12.01.23;Eft-Pos - Coop-5629 ZH Vulkanstras, Zurich - 10.01.2023 13:13 - N. di carta xxxxxxxxxxxx4476 - 1.40 CHF;-1.40;80014.25;10.01.23
12.01.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 10.01.2023 12:58 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;80015.65;10.01.23
11.01.23;Addebito TWINT SBB EasyRide App 0400001109423053;-6.10;80024.15;11.01.23
11.01.23;Eft-Pos - LA NUOVA SFOGLIATELLA DI, MONTEVARCHI - 07.01.2023 08:30 - N. di carta xxxxxxxxxxxx4476 - 6.80 EUR al tasso di cambio 0.997059 = CHF 6.78 Piu commisioni CHF 1.50;-8.28;80030.25;07.01.23
10.01.23;Eft-Pos - Elvetino AG, Zurich - 07.01.2023 13:25 - N. di carta xxxxxxxxxxxx4476 - 4.90 EUR al tasso di cambio 0.997959 = CHF 4.89;-4.89;80038.53;07.01.23
10.01.23;Eft-Pos - SBB Zugsverkauf, Bern - 07.01.2023 17:37 - N. di carta xxxxxxxxxxxx4476 - 5.00 CHF;-5.00;80043.42;07.01.23
10.01.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 07.01.2023 20:50 - N. di carta xxxxxxxxxxxx4476 - 38.85 CHF;-38.85;80048.42;07.01.23
10.01.23;Eft-Pos - L  ANTICO FORNO, MONTEVARCHI - 07.01.2023 08:38 - N. di carta xxxxxxxxxxxx4476 - 14.60 EUR al tasso di cambio 0.99726 = CHF 14.56 Piu commisioni CHF 1.50;-16.06;80087.27;07.01.23
10.01.23;Eft-Pos - EUROSPIN, MONTEVARCHI - 06.01.2023 11:52 - N. di carta xxxxxxxxxxxx4476 - 59.59 EUR al tasso di cambio 0.997315 = CHF 59.43 Piu commisioni CHF 1.50;-60.93;80103.33;06.01.23
09.01.23;Addebito TWINT Ogg The Farmer 0400001105504080;-6.00;80164.26;08.01.23
09.01.23;Addebito TWINT SBB EasyRide App 0400001104895189;-3.40;80170.26;08.01.23
09.01.23;Eft-Pos - NENCINI SPORT, TERRANUOVA BR - 05.01.2023 20:01 - N. di carta xxxxxxxxxxxx4476 - 266.15 EUR al tasso di cambio 0.999699 = CHF 266.07 Piu commisioni CHF 1.50;-267.57;80173.66;05.01.23
09.01.23;Eft-Pos - MACELLERIA MORETTI, MONTEVARCHI - 05.01.2023 11:40 - N. di carta xxxxxxxxxxxx4476 - 52.47 EUR al tasso di cambio 0.999809 = CHF 52.46 Piu commisioni CHF 1.50;-53.96;80441.23;05.01.23
09.01.23;Eft-Pos - LA NUOVA SFOGLIATELLA DI, MONTEVARCHI - 04.01.2023 10:27 - N. di carta xxxxxxxxxxxx4476 - 8.80 EUR al tasso di cambio 1.001136 = CHF 8.81 Piu commisioni CHF 1.50;-10.31;80495.19;04.01.23
06.01.23;Eft-Pos - NENCINI SPORT, TERRANUOVA BR - 04.01.2023 12:13 - N. di carta xxxxxxxxxxxx4476 - 166.65 EUR al tasso di cambio 1.00072 = CHF 166.77 Piu commisioni CHF 1.50;-168.27;80505.50;04.01.23
05.01.23;Eft-Pos - YAMATOJI, TERRANUOVA BR - 03.01.2023 22:40 - N. di carta xxxxxxxxxxxx4476 - 100.00 EUR al tasso di cambio 0.9994 = CHF 99.94 Piu commisioni CHF 1.50;-101.44;80673.77;03.01.23
04.01.23;Eft-Pos - AGRICOLA SCHEPIS GIUS, SAN GIOVANNI - 02.01.2023 09:49 - N. di carta xxxxxxxxxxxx4476 - 8.60 EUR al tasso di cambio 0.996512 = CHF 8.57 Piu commisioni CHF 1.50;-10.07;80775.21;02.01.23
04.01.23;Eft-Pos - LIDL 638, MONTEVARCHI - 02.01.2023 11:56 - N. di carta xxxxxxxxxxxx4476 - 19.09 EUR al tasso di cambio 0.996857 = CHF 19.03 Piu commisioni CHF 1.50;-20.53;80785.28;02.01.23
04.01.23;Eft-Pos - CONAD, MONTEVARCHI - 02.01.2023 09:42 - N. di carta xxxxxxxxxxxx4476 - 22.16 EUR al tasso di cambio 0.996841 = CHF 22.09 Piu commisioni CHF 1.50;-23.59;80805.81;02.01.23
03.01.23;Belastung LSV;-328.30;80829.40;03.01.23
03.01.23;Eft-Pos - Lego North LGW, London - 01.01.2023 12:46 - N. di carta xxxxxxxxxxxx4476 - 149.58 GBP al tasso di cambio 1.13451 = CHF 169.70 Piu commisioni CHF 1.50;-171.20;81157.70;01.01.23
03.01.23;Eft-Pos - SHAKE SHACK GATWICK 15, GATWICK - 01.01.2023 13:04 - N. di carta xxxxxxxxxxxx4476 - 44.40 GBP al tasso di cambio 1.134459 = CHF 50.37 Piu commisioni CHF 1.50;-51.87;81328.90;01.01.23
03.01.23;Eft-Pos - HAVELOCK TAVERN, BROOK GREEN - 31.12.2022 21:30 - N. di carta xxxxxxxxxxxx4476 - 60.19 GBP al tasso di cambio 1.134574 = CHF 68.29 Piu commisioni CHF 1.50;-69.79;81380.77;31.12.22
03.01.23;Eft-Pos - MASBRO FOOD AND WINE, GREENFORD UB6 - 31.12.2022 21:39 - N. di carta xxxxxxxxxxxx4476 - 3.98 GBP al tasso di cambio 1.135678 = CHF 4.52 Piu commisioni CHF 1.50;-6.02;81450.56;31.12.22
03.01.23;Eft-Pos - Zettle_Streets of Korea, London - 31.12.2022 15:24 - N. di carta xxxxxxxxxxxx4476 - 10.50 GBP al tasso di cambio 1.134286 = CHF 11.91 Piu commisioni CHF 1.50;-13.41;81456.58;31.12.22
03.01.23;Eft-Pos - BOOTS 0745, LONDON - 31.12.2022 14:06 - N. di carta xxxxxxxxxxxx4476 - 7.85 GBP al tasso di cambio 1.135032 = CHF 8.91 Piu commisioni CHF 1.50;-10.41;81469.99;31.12.22
03.01.23;Eft-Pos - ZETTLE_MAZE COLLECTIO, LONDON - 31.12.2022 15:48 - N. di carta xxxxxxxxxxxx4476 - 38.00 GBP al tasso di cambio 1.134474 = CHF 43.11 Piu commisioni CHF 1.50;-44.61;81480.40;31.12.22
03.01.23;Eft-Pos - STARBUCKS, LONDON - 30.12.2022 12:39 - N. di carta xxxxxxxxxxxx4476 - 3.80 GBP al tasso di cambio 1.134211 = CHF 4.31 Piu commisioni CHF 1.50;-5.81;81525.01;30.12.22
03.01.23;Eft-Pos - SHAKE SHACK - VICTORIA, LONDON - 30.12.2022 14:35 - N. di carta xxxxxxxxxxxx4476 - 18.40 GBP al tasso di cambio 1.134783 = CHF 20.88 Piu commisioni CHF 1.50;-22.38;81530.82;30.12.22
03.01.23;Eft-Pos - SHAKE SHACK - VICTORIA, LONDON - 30.12.2022 14:08 - N. di carta xxxxxxxxxxxx4476 - 40.80 GBP al tasso di cambio 1.134559 = CHF 46.29 Piu commisioni CHF 1.50;-47.79;81553.20;30.12.22
03.01.23;Eft-Pos - JAPAN CENTRE GROUP, LONDON  SW1Y - 30.12.2022 16:35 - N. di carta xxxxxxxxxxxx4476 - 6.45 GBP al tasso di cambio 1.134884 = CHF 7.32 Piu commisioni CHF 1.50;-8.82;81600.99;30.12.22
03.01.23;Eft-Pos - JAPAN CENTRE GROUP, LONDON  SW1Y - 30.12.2022 17:18 - N. di carta xxxxxxxxxxxx4476 - 56.35 GBP al tasso di cambio 1.134516 = CHF 63.93 Piu commisioni CHF 1.50;-65.43;81609.81;30.12.22
03.01.23;Eft-Pos - CAFFE NERO 40 PORTCULLIS, LONDON - 30.12.2022 21:04 - N. di carta xxxxxxxxxxxx4476 - 2.95 GBP al tasso di cambio 1.135593 = CHF 3.35 Piu commisioni CHF 1.50;-4.85;81675.24;30.12.22
03.01.23;Eft-Pos - MIKAWA JAPAN W12, LONDON - 29.12.2022 22:16 - N. di carta xxxxxxxxxxxx4476 - 68.40 GBP al tasso di cambio 1.140205 = CHF 77.99 Piu commisioni CHF 1.50;-79.49;81680.09;29.12.22
03.01.23;Eft-Pos - SAINSBURYS S/MKTS, HAMMERSMITH & - 29.12.2022 22:32 - N. di carta xxxxxxxxxxxx4476 - 18.89 GBP al tasso di cambio 1.140286 = CHF 21.54 Piu commisioni CHF 1.50;-23.04;81759.58;29.12.22
03.01.23;Eft-Pos - Glenkeir Whiskies Limite, Glasgow - 29.12.2022 13:26 - N. di carta xxxxxxxxxxxx4476 - 63.00 GBP al tasso di cambio 1.140159 = CHF 71.83 Piu commisioni CHF 1.50;-73.33;81782.62;29.12.22
31.12.22;Zahlungsverkehrsspesen;-2.60;81855.95;31.12.22
30.12.22;Belastung LSV;-7.00;81858.55;30.12.22
29.12.22;Verg�tung;-64.90;81865.55;29.12.22
28.12.22;Eft-Pos - 43040175 COSTA COFFEE, GATWICK - 24.12.2022 18:46 - N. di carta xxxxxxxxxxxx4476 - 7.50 GBP al tasso di cambio 1.142667 = CHF 8.57 Piu commisioni CHF 1.50;-10.07;81930.45;24.12.22
28.12.22;Eft-Pos - Coop-2572 Regensdorf/Rag, Regensdorf - 23.12.2022 16:43 - N. di carta xxxxxxxxxxxx4476 - 141.90 CHF;-141.90;81940.52;23.12.22
27.12.22;Eft-Pos - SUMUP  RAINTOWN BARBERS, REGENSDORF - 22.12.2022 19:16 - N. di carta xxxxxxxxxxxx4476 - 35.00 CHF;-35.00;82082.42;22.12.22
22.12.22;Eft-Pos - C & A Mode Regensdorf /, Regensdorf - 20.12.2022 18:37 - N. di carta xxxxxxxxxxxx4476 - 40.25 CHF;-40.25;82117.42;20.12.22
22.12.22;Eft-Pos - SUMUP  TREGI GMBH, BUNZEN - 20.12.2022 17:59 - N. di carta xxxxxxxxxxxx4476 - 19.40 CHF;-19.40;82157.67;20.12.22
21.12.22;Addebito TWINT Voinova, Tatiana, +41799529190 0400001075853763;-3.00;82177.07;21.12.22
21.12.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 19.12.2022 12:18 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;82180.07;19.12.22
21.12.22;Eft-Pos - Coop-5629 ZH Vulkanstras, Zurich - 19.12.2022 08:19 - N. di carta xxxxxxxxxxxx4476 - 2.95 CHF;-2.95;82189.57;19.12.22
20.12.22;Addebito TWINT SBB EasyRide App 0400001073259053;-6.10;82192.52;20.12.22
20.12.22;Dauerauftrag;-1090.00;82198.62;20.12.22
20.12.22;Eft-Pos - PASTEL DE NATA, ZUERICH - 17.12.2022 17:40 - N. di carta xxxxxxxxxxxx4476 - 15.00 CHF;-15.00;83288.62;17.12.22
20.12.22;Eft-Pos - BOD DESIGN, BERLIN - 17.12.2022 17:25 - N. di carta xxxxxxxxxxxx4476 - 75.00 CHF Piu commisioni CHF 1.50;-76.50;83303.62;17.12.22
19.12.22;Addebito TWINT SBB EasyRide App 0400001069862860;-6.10;83380.12;18.12.22
16.12.22;Pagamento stipendio Cembra Money Bank AG;6923.05;83386.22;16.12.22
14.12.22;Belastung LSV;-1018.35;76463.17;14.12.22
09.12.22;Eft-Pos - Denner Regensdorf, Regensdorf - 07.12.2022 12:19 - N. di carta xxxxxxxxxxxx4476 - 6.70 CHF;-6.70;77481.52;07.12.22
08.12.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 06.12.2022 12:14 - N. di carta xxxxxxxxxxxx4476 - 6.00 CHF;-6.00;77488.22;06.12.22
07.12.22;Addebito TWINT SBB EasyRide App 0400001048480522;-6.10;77494.22;07.12.22
07.12.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 05.12.2022 13:11 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;77500.32;05.12.22
06.12.22;Addebito TWINT SBB EasyRide App 0400001046550391;-6.10;77508.82;06.12.22
06.12.22;Eft-Pos - Lidl Regensdorf, Regensdorf - 03.12.2022 17:09 - N. di carta xxxxxxxxxxxx4476 - 182.55 CHF;-182.55;77514.92;03.12.22
05.12.22;Addebito TWINT SBB EasyRide App 0400001041310981;-6.10;77697.47;03.12.22
05.12.22;Addebito TWINT Coop-2572 Regensdorf/R�gi-M�rt 0400001040445958;-58.35;77703.57;03.12.22
02.12.22;Addebito TWINT Ogg The Farmer 0400001040464667;-6.00;77761.92;02.12.22
01.12.22;Belastung LSV;-7.00;77767.92;01.12.22
01.12.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 29.11.2022 12:24 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;77774.92;29.11.22
30.11.22;Belastung LSV;-313.90;77784.42;30.11.22
30.11.22;Verg�tung;-64.00;78098.32;30.11.22
30.11.22;Addebito TWINT SBB EasyRide App 0400001035079996;-6.10;78162.32;30.11.22
30.11.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 28.11.2022 13:10 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;78168.42;28.11.22
29.11.22;Addebito TWINT SBB EasyRide App 0400001033224685;-6.10;78176.92;29.11.22
28.11.22;Addebito TWINT Ogg The Farmer 0400001030469528;-13.00;78183.02;27.11.22
24.11.22;Pagamento stipendio Cembra Money Bank AG;6923.05;78196.02;24.11.22
24.11.22;Eft-Pos - Lidl Regensdorf, Regensdorf - 22.11.2022 19:16 - N. di carta xxxxxxxxxxxx4476 - 65.65 CHF;-65.65;71272.97;22.11.22
24.11.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 22.11.2022 12:11 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;71338.62;22.11.22
22.11.22;Eft-Pos - Lidl Regensdorf, Regensdorf - 19.11.2022 17:36 - N. di carta xxxxxxxxxxxx4476 - 18.40 CHF;-18.40;71347.12;19.11.22
21.11.22;Addebito TWINT Ogg The Farmer 0400001015589819;-30.50;71365.52;19.11.22
21.11.22;Addebito TWINT Ogg The Farmer 0400001015571592;-6.00;71396.02;19.11.22
18.11.22;Dauerauftrag;-1090.00;71402.02;18.11.22
17.11.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 15.11.2022 12:14 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;72492.02;15.11.22
17.11.22;Eft-Pos - Denner Regensdorf, Regensdorf - 15.11.2022 18:12 - N. di carta xxxxxxxxxxxx4476 - 33.10 CHF;-33.10;72500.52;15.11.22
17.11.22;Eft-Pos - Denner Regensdorf, Regensdorf - 15.11.2022 18:17 - N. di carta xxxxxxxxxxxx4476 - 5.95 CHF;-5.95;72533.62;15.11.22
16.11.22;Verg�tung;-699.00;72539.57;16.11.22
15.11.22;Eft-Pos - JUMBO-2017 Regensdorf, Regensdorf - 12.11.2022 14:49 - N. di carta xxxxxxxxxxxx4476 - 14.00 CHF;-14.00;73238.57;12.11.22
15.11.22;Eft-Pos - WERKK Kulturlokal, Baden - 11.11.2022 22:18 - N. di carta xxxxxxxxxxxx4476 - 20.00 CHF;-20.00;73252.57;11.11.22
14.11.22;Addebito TWINT Ogg The Farmer 0400001003536282;-6.00;73272.57;12.11.22
10.11.22;Eft-Pos - Lidl Regensdorf, Regensdorf - 08.11.2022 18:25 - N. di carta xxxxxxxxxxxx4476 - 56.05 CHF;-56.05;73278.57;08.11.22
10.11.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 08.11.2022 12:29 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;73334.62;08.11.22
09.11.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 07.11.2022 13:02 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;73344.12;07.11.22
08.11.22;Eft-Pos - LANDI Regensdorf Genosse, Adlikon B.Reg - 05.11.2022 15:58 - N. di carta xxxxxxxxxxxx4476 - 17.10 CHF;-17.10;73352.62;05.11.22
08.11.22;Eft-Pos - Lidl Regensdorf, Regensdorf - 04.11.2022 18:11 - N. di carta xxxxxxxxxxxx4476 - 30.75 CHF;-30.75;73369.72;04.11.22
04.11.22;Belastung LSV;-7.00;73400.47;04.11.22
03.11.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 01.11.2022 12:15 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;73407.47;01.11.22
03.11.22;Accredito - Thermalquellen Brigerbad, Brigerbad - 30.10.2022 00:00 - N. di carta xxxxxxxxxxxx4476 - 273.10 CHF;273.10;73415.97;30.10.22
03.11.22;Accredito - Aletsch Riederalp Bahnen, Morel - 29.10.2022 00:00 - N. di carta xxxxxxxxxxxx4476 - 29.40 CHF;29.40;73142.87;29.10.22
02.11.22;Verg�tung;-170.90;73113.47;02.11.22
02.11.22;Eft-Pos - Lidl Regensdorf, Regensdorf - 31.10.2022 18:56 - N. di carta xxxxxxxxxxxx4476 - 3.90 CHF;-3.90;73284.37;31.10.22
02.11.22;Eft-Pos - Lidl Regensdorf, Regensdorf - 31.10.2022 18:51 - N. di carta xxxxxxxxxxxx4476 - 41.50 CHF;-41.50;73288.27;31.10.22
02.11.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 31.10.2022 13:04 - N. di carta xxxxxxxxxxxx4476 - 6.00 CHF;-6.00;73329.77;31.10.22
01.11.22;Eft-Pos - Thermalquellen Brigerbad, Brigerbad - 30.10.2022 09:38 - N. di carta xxxxxxxxxxxx4476 - 273.10 CHF;-273.10;73335.77;30.10.22
01.11.22;Eft-Pos - Thermalquellen Brigerbad, Brigerbad - 30.10.2022 09:38 - N. di carta xxxxxxxxxxxx4476 - 273.10 CHF;-273.10;73608.87;30.10.22
01.11.22;Eft-Pos - LAC SOUTERRAIN DE ST L, ST LEONARD - 30.10.2022 11:33 - N. di carta xxxxxxxxxxxx4476 - 8.00 CHF;-8.00;73881.97;30.10.22
01.11.22;Eft-Pos - Aletsch Riederalp Bahnen, Morel - 29.10.2022 11:02 - N. di carta xxxxxxxxxxxx4476 - 29.40 CHF;-29.40;73889.97;29.10.22
01.11.22;Eft-Pos - Restaurant Belalp, Naters - 29.10.2022 19:54 - N. di carta xxxxxxxxxxxx4476 - 103.50 CHF;-103.50;73919.37;29.10.22
01.11.22;Eft-Pos - Aletsch Riederalp Bahnen, Morel - 29.10.2022 11:02 - N. di carta xxxxxxxxxxxx4476 - 29.40 CHF;-29.40;74022.87;29.10.22
01.11.22;Eft-Pos - MCDONALDS AMACKER, BRIG - 28.10.2022 14:19 - N. di carta xxxxxxxxxxxx4476 - 42.70 CHF;-42.70;74052.27;28.10.22
01.11.22;Eft-Pos - Thermalquellen Brigerbad, Brigerbad - 28.10.2022 11:13 - N. di carta xxxxxxxxxxxx4476 - 1.50 CHF;-1.50;74094.97;28.10.22
01.11.22;Eft-Pos - Thermalquellen Brigerbad, Brigerbad - 28.10.2022 11:23 - N. di carta xxxxxxxxxxxx4476 - 70.00 CHF;-70.00;74096.47;28.10.22
31.10.22;Verg�tung;-64.00;74166.47;31.10.22
31.10.22;Belastung LSV;-313.90;74230.47;31.10.22
31.10.22;Addebito TWINT , Marons, +41793567073 0400000980513497;-7.00;74544.37;30.10.22
27.10.22;Verg�tung;-1000.00;74551.37;27.10.22
27.10.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 25.10.2022 12:46 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;75551.37;25.10.22
26.10.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 24.10.2022 13:07 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;75559.87;24.10.22
25.10.22;Eft-Pos - SUMUP  GASTRO NEW LIFE, MAGGIA - 23.10.2022 11:23 - N. di carta xxxxxxxxxxxx4476 - 14.00 CHF;-14.00;75569.37;23.10.22
25.10.22;Eft-Pos - Camping TCS Bella Riva, Gordevio - 23.10.2022 11:05 - N. di carta xxxxxxxxxxxx4476 - 15.00 CHF;-15.00;75583.37;23.10.22
25.10.22;Eft-Pos - Lidl Regensdorf, Regensdorf - 21.10.2022 18:17 - N. di carta xxxxxxxxxxxx4476 - 85.55 CHF;-85.55;75598.37;21.10.22
24.10.22;Pagamento stipendio Cembra Money Bank AG;7922.85;75683.92;24.10.22
20.10.22;Dauerauftrag;-1090.00;67761.07;20.10.22
20.10.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 18.10.2022 12:57 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;68851.07;18.10.22
19.10.22;Eft-Pos - Buffet Express - HB Zuri, Zurich - 17.10.2022 16:37 - N. di carta xxxxxxxxxxxx4476 - 4.40 CHF;-4.40;68859.57;17.10.22
19.10.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 17.10.2022 12:36 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;68863.97;17.10.22
18.10.22;Eft-Pos - Lidl Regensdorf, Regensdorf - 14.10.2022 18:08 - N. di carta xxxxxxxxxxxx4476 - 71.70 CHF;-71.70;68873.47;14.10.22
17.10.22;Addebito TWINT Ogg The Farmer 0400000956376052;-9.50;68945.17;15.10.22
14.10.22;Belastung LSV;-56.60;68954.67;14.10.22
14.10.22;Eft-Pos - El Lokal AG, Zurich - 12.10.2022 19:58 - N. di carta xxxxxxxxxxxx4476 - 17.30 CHF;-17.30;69011.27;12.10.22
14.10.22;Eft-Pos - Coop-5609 ZH Andreasturm, Zurich - 12.10.2022 13:42 - N. di carta xxxxxxxxxxxx4476 - 2.50 CHF;-2.50;69028.57;12.10.22
13.10.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 11.10.2022 12:09 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;69031.07;11.10.22
12.10.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 10.10.2022 13:03 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;69039.57;10.10.22
11.10.22;Eft-Pos - Denner Regensdorf, Regensdorf - 08.10.2022 15:50 - N. di carta xxxxxxxxxxxx4476 - 16.40 CHF;-16.40;69048.07;08.10.22
11.10.22;Eft-Pos - C & A Mode Regensdorf /, Regensdorf - 08.10.2022 15:07 - N. di carta xxxxxxxxxxxx4476 - 29.95 CHF;-29.95;69064.47;08.10.22
11.10.22;Eft-Pos - Lidl Regensdorf, Regensdorf - 07.10.2022 19:58 - N. di carta xxxxxxxxxxxx4476 - 75.45 CHF;-75.45;69094.42;07.10.22
