Datum;Buchungstext;Betrag;Saldo;Valuta
20.06.23;Eft-Pos - Coop TS Regensdorf, Regensdorf - 17.06.2023 11:08 - N. di carta xxxxxxxxxxxx4476 - 12.99 CHF;-12.99;104405.34;17.06.23
20.06.23;Eft-Pos - LANDI Regensdorf Genosse, Adlikon B.Reg - 17.06.2023 11:35 - N. di carta xxxxxxxxxxxx4476 - 49.45 CHF;-49.45;104418.33;17.06.23
20.06.23;Eft-Pos - AKSA FOOD HONGG AG, ZURICH - 17.06.2023 12:13 - N. di carta xxxxxxxxxxxx4476 - 95.50 CHF;-95.50;104467.78;17.06.23
19.06.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 15.06.2023 20:00 - N. di carta xxxxxxxxxxxx4476 - 42.30 CHF;-42.30;104563.28;15.06.23
16.06.23;Addebito TWINT Bundesamt f�r Justiz 0400001418492123;-17.00;104605.58;16.06.23
14.06.23;Belastung LSV;-142.85;104622.58;14.06.23
13.06.23;Eft-Pos - Aldi Suisse 53, Chiasso - 10.06.2023 17:17 - N. di carta xxxxxxxxxxxx4476 - 40.35 CHF;-40.35;104765.43;10.06.23
13.06.23;Eft-Pos - Coop-2482 Chiasso, Chiasso - 10.06.2023 20:58 - N. di carta xxxxxxxxxxxx4476 - 8.20 CHF;-8.20;104805.78;10.06.23
13.06.23;Eft-Pos - Migrol Service, Zug - 09.06.2023 10:43 - N. di carta xxxxxxxxxxxx4476 - 58.88 CHF;-58.88;104813.98;09.06.23
08.06.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 06.06.2023 12:22 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;104872.86;06.06.23
07.06.23;Addebito TWINT SBB EasyRide 0400001396932833;-6.10;104882.36;07.06.23
06.06.23;Eft-Pos - Coop TS Regensdorf, Regensdorf - 04.06.2023 12:59 - N. di carta xxxxxxxxxxxx4476 - 4.90 CHF;-4.90;104888.46;04.06.23
06.06.23;Eft-Pos - AKSA FOOD HONGG AG, ZURICH - 03.06.2023 11:05 - N. di carta xxxxxxxxxxxx4476 - 88.45 CHF;-88.45;104893.36;03.06.23
06.06.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 03.06.2023 19:48 - N. di carta xxxxxxxxxxxx4476 - 140.55 CHF;-140.55;104981.81;03.06.23
06.06.23;Eft-Pos - SUMUP  KIOSK KATZENSEE, ZURICH - 03.06.2023 16:44 - N. di carta xxxxxxxxxxxx4476 - 3.80 CHF;-3.80;105122.36;03.06.23
05.06.23;Belastung LSV;-7.00;105126.16;05.06.23
05.06.23;Addebito TWINT SBB EasyRide 0400001390733564;-4.10;105133.16;04.06.23
05.06.23;Addebito TWINT Ogg The Farmer 0400001389941860;-11.00;105137.26;03.06.23
02.06.23;Eft-Pos - LANDI Regensdorf Genosse, Adlikon B.Reg - 31.05.2023 18:21 - N. di carta xxxxxxxxxxxx4476 - 64.25 CHF;-64.25;105148.26;31.05.23
01.06.23;Eft-Pos - LANDI Regensdorf Genosse, Adlikon B.Reg - 30.05.2023 17:58 - N. di carta xxxxxxxxxxxx4476 - 66.75 CHF;-66.75;105212.51;30.05.23
01.06.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 30.05.2023 12:11 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;105279.26;30.05.23
31.05.23;Addebito TWINT SBB EasyRide 0400001380633756;-4.10;105288.76;31.05.23
31.05.23;Belastung LSV;-350.20;105292.86;31.05.23
31.05.23;Verg�tung;-64.00;105643.06;31.05.23
31.05.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 27.05.2023 19:04 - N. di carta xxxxxxxxxxxx4476 - 39.25 CHF;-39.25;105707.06;27.05.23
31.05.23;Eft-Pos - LANDI Regensdorf Genosse, Adlikon B.Reg - 27.05.2023 14:48 - N. di carta xxxxxxxxxxxx4476 - 31.95 CHF;-31.95;105746.31;27.05.23
31.05.23;Eft-Pos - Denner Regensdorf, Regensdorf - 27.05.2023 19:19 - N. di carta xxxxxxxxxxxx4476 - 70.00 CHF;-70.00;105778.26;27.05.23
30.05.23;Addebito TWINT (Sofa), Siminia, +41779778472 0400001371802284;-400.00;105848.26;26.05.23
30.05.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 25.05.2023 20:46 - N. di carta xxxxxxxxxxxx4476 - 84.60 CHF;-84.60;106248.26;25.05.23
24.05.23;Pagamento stipendio Cembra Money Bank AG;6939.00;106332.86;24.05.23
23.05.23;Addebito TWINT SBB EasyRide 0400001362604363;-6.10;99393.86;23.05.23
23.05.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 20.05.2023 19:40 - N. di carta xxxxxxxxxxxx4476 - 25.40 CHF;-25.40;99399.96;20.05.23
23.05.23;Eft-Pos - Paddy Reillys AG, Zurich - 19.05.2023 22:34 - N. di carta xxxxxxxxxxxx4476 - 18.60 CHF;-18.60;99425.36;19.05.23
22.05.23;Addebito TWINT SBB EasyRide 0400001357237308;-6.10;99443.96;20.05.23
19.05.23;Dauerauftrag;-1090.00;99450.06;19.05.23
19.05.23;Addebito TWINT Ogg The Farmer 0400001354217485;-16.10;100540.06;18.05.23
19.05.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 16.05.2023 12:13 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;100556.16;16.05.23
17.05.23;Addebito TWINT SBB EasyRide 0400001351306457;-3.40;100564.66;17.05.23
17.05.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 15.05.2023 13:05 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;100568.06;15.05.23
17.05.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 13.05.2023 14:53 - N. di carta xxxxxxxxxxxx4476 - 39.95 CHF;-39.95;100576.56;13.05.23
17.05.23;Eft-Pos - Coop TS Prime Tower, Zurich - 12.05.2023 19:28 - N. di carta xxxxxxxxxxxx4476 - 1.15 CHF;-1.15;100616.51;12.05.23
16.05.23;Addebito TWINT SBB EasyRide 0400001349242692;-6.10;100617.66;16.05.23
15.05.23;Addebito TWINT SBB EasyRide 0400001345731537;-6.10;100623.76;14.05.23
10.05.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 08.05.2023 19:40 - N. di carta xxxxxxxxxxxx4476 - 22.30 CHF;-22.30;100629.86;08.05.23
09.05.23;Addebito TWINT Ogg The Farmer 0400001335935310;-12.20;100652.16;09.05.23
09.05.23;Eft-Pos - UZRK.-P. Kohl & D. Posz, Hamburg - 07.05.2023 10:10 - N. di carta xxxxxxxxxxxx4476 - 3.90 EUR al tasso di cambio 0.992308 = CHF 3.87 Piu commisioni CHF 1.50;-5.37;100664.36;07.05.23
09.05.23;Eft-Pos - NUR HIER 3076, PINNEBERG - 06.05.2023 15:52 - N. di carta xxxxxxxxxxxx4476 - 17.29 EUR al tasso di cambio 0.99306 = CHF 17.17 Piu commisioni CHF 1.50;-18.67;100669.73;06.05.23
09.05.23;Eft-Pos - FANOE BRYGHUS, FANOE - 05.05.2023 17:43 - N. di carta xxxxxxxxxxxx4476 - 190.00 DKK al tasso di cambio 0.134579 = CHF 25.57 Piu commisioni CHF 1.50;-27.07;100688.40;05.05.23
09.05.23;Eft-Pos - FANOE BRYGHUS, FANOE - 05.05.2023 17:50 - N. di carta xxxxxxxxxxxx4476 - 30.00 DKK al tasso di cambio 0.134667 = CHF 4.04 Piu commisioni CHF 1.50;-5.54;100715.47;05.05.23
09.05.23;Eft-Pos - SUPERBRUGSEN NORDBY, FANOE - 05.05.2023 19:01 - N. di carta xxxxxxxxxxxx4476 - 139.20 DKK al tasso di cambio 0.134555 = CHF 18.73 Piu commisioni CHF 1.50;-20.23;100721.01;05.05.23
09.05.23;Eft-Pos - SUMUP  VADEMAD APS, FANO - 05.05.2023 17:32 - N. di carta xxxxxxxxxxxx4476 - 130.00 DKK al tasso di cambio 0.134538 = CHF 17.49 Piu commisioni CHF 1.50;-18.99;100741.24;05.05.23
08.05.23;Addebito TWINT SBB EasyRide 0400001332302885;-3.40;100760.23;08.05.23
08.05.23;Eft-Pos - DAGLIBRUGSEN SOENDERHO, FANOE - 04.05.2023 15:04 - N. di carta xxxxxxxxxxxx4476 - 76.95 DKK al tasso di cambio 0.134893 = CHF 10.38 Piu commisioni CHF 1.50;-11.88;100763.63;04.05.23
05.05.23;Eft-Pos - Zettle_Fano Supermarked, Fano - 03.05.2023 12:18 - N. di carta xxxxxxxxxxxx4476 - 525.00 DKK al tasso di cambio 0.135029 = CHF 70.89 Piu commisioni CHF 1.50;-72.39;100775.51;03.05.23
05.05.23;Eft-Pos - SUPERBRUGSEN NORDBY, FANOE - 03.05.2023 19:00 - N. di carta xxxxxxxxxxxx4476 - 131.65 DKK al tasso di cambio 0.135055 = CHF 17.78 Piu commisioni CHF 1.50;-19.28;100847.90;03.05.23
03.05.23;Eft-Pos - SPAR FANOE, FANOE - 01.05.2023 15:05 - N. di carta xxxxxxxxxxxx4476 - 277.00 DKK al tasso di cambio 0.134874 = CHF 37.36 Piu commisioni CHF 1.50;-38.86;100867.18;01.05.23
03.05.23;Eft-Pos - ESBJERG STREET FOOD AF 2, ESBJERG - 29.04.2023 13:57 - N. di carta xxxxxxxxxxxx4476 - 89.00 DKK al tasso di cambio 0.134831 = CHF 12.00 Piu commisioni CHF 1.50;-13.50;100906.04;29.04.23
02.05.23;Belastung LSV;-7.00;100919.54;02.05.23
02.05.23;Belastung LSV;-350.20;100926.54;02.05.23
28.04.23;Addebito TWINT SBB EasyRide 0400001310748722;-3.40;101276.74;28.04.23
28.04.23;Verg�tung;-67.40;101280.14;28.04.23
27.04.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 25.04.2023 12:25 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;101347.54;25.04.23
26.04.23;Addebito TWINT SBB EasyRide 0400001306166782;-6.10;101357.04;26.04.23
25.04.23;Eft-Pos - Coop TS Regensdorf, Regensdorf - 23.04.2023 12:48 - N. di carta xxxxxxxxxxxx4476 - 2.95 CHF;-2.95;101363.14;23.04.23
25.04.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 22.04.2023 18:41 - N. di carta xxxxxxxxxxxx4476 - 109.35 CHF;-109.35;101366.09;22.04.23
24.04.23;Pagamento stipendio Cembra Money Bank AG;6939.00;101475.44;24.04.23
24.04.23;Addebito TWINT Ogg The Farmer 0400001301464025;-6.00;94536.44;23.04.23
24.04.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 20.04.2023 19:35 - N. di carta xxxxxxxxxxxx4476 - 75.60 CHF;-75.60;94542.44;20.04.23
20.04.23;Dauerauftrag;-1090.00;94618.04;20.04.23
20.04.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 18.04.2023 12:22 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;95708.04;18.04.23
19.04.23;Addebito TWINT SBB EasyRide App 0400001292425741;-6.10;95717.54;19.04.23
18.04.23;Addebito TWINT Ogg The Farmer 0400001291913324;-6.00;95723.64;18.04.23
18.04.23;Eft-Pos - Coop-2829 Dietikon Silbe, Dietikon - 15.04.2023 14:23 - N. di carta xxxxxxxxxxxx4476 - 9.40 CHF;-9.40;95729.64;15.04.23
18.04.23;Eft-Pos - FRISCH-FISCH MERCATO, DIETLIKON - 15.04.2023 15:34 - N. di carta xxxxxxxxxxxx4476 - 206.60 CHF;-206.60;95739.04;15.04.23
18.04.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 14.04.2023 19:38 - N. di carta xxxxxxxxxxxx4476 - 54.35 CHF;-54.35;95945.64;14.04.23
14.04.23;Belastung LSV;-297.30;95999.99;14.04.23
14.04.23;Addebito TWINT Ogg The Farmer 0400001283132893;-6.00;96297.29;13.04.23
14.04.23;Eft-Pos - MCDONALDS REGENSDORF, REGENSDORF - 11.04.2023 19:32 - N. di carta xxxxxxxxxxxx4476 - 68.10 CHF;-68.10;96303.29;11.04.23
13.04.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 11.04.2023 18:14 - N. di carta xxxxxxxxxxxx4476 - 14.35 CHF;-14.35;96371.39;11.04.23
12.04.23;Eft-Pos - Bass Center, Schlieren - 08.04.2023 16:01 - N. di carta xxxxxxxxxxxx4476 - 15.00 CHF;-15.00;96385.74;08.04.23
12.04.23;Eft-Pos - AKSA FOOD HONGG AG, ZURICH - 08.04.2023 12:32 - N. di carta xxxxxxxxxxxx4476 - 98.80 CHF;-98.80;96400.74;08.04.23
12.04.23;Eft-Pos - Coop TS Prime Tower, Zurich - 06.04.2023 20:00 - N. di carta xxxxxxxxxxxx4476 - 1.15 CHF;-1.15;96499.54;06.04.23
12.04.23;Eft-Pos - BRISKET GMBH, ZUERICH - 06.04.2023 21:55 - N. di carta xxxxxxxxxxxx4476 - 36.00 CHF;-36.00;96500.69;06.04.23
12.04.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 06.04.2023 18:51 - N. di carta xxxxxxxxxxxx4476 - 13.70 CHF;-13.70;96536.69;06.04.23
11.04.23;Addebito TWINT SBB EasyRide App 0400001272202580;-6.10;96550.39;07.04.23
11.04.23;Eft-Pos - STARBUCKS 032180, ZURICH - 05.04.2023 19:45 - N. di carta xxxxxxxxxxxx4476 - 8.90 CHF;-8.90;96556.49;05.04.23
11.04.23;Eft-Pos - AKSA FOOD HONGG AG, ZURICH - 05.04.2023 20:10 - N. di carta xxxxxxxxxxxx4476 - 8.85 CHF;-8.85;96565.39;05.04.23
06.04.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 04.04.2023 11:58 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;96574.24;04.04.23
05.04.23;Addebito TWINT SBB EasyRide App 0400001267672257;-6.10;96583.74;05.04.23
04.04.23;Eft-Pos - Volg Laden Watt, Watt - 01.04.2023 18:13 - N. di carta xxxxxxxxxxxx4476 - 14.60 CHF;-14.60;96589.84;01.04.23
04.04.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 31.03.2023 19:26 - N. di carta xxxxxxxxxxxx4476 - 98.70 CHF;-98.70;96604.44;31.03.23
03.04.23;Zahlungseingang;6000.00;96703.14;03.04.23
03.04.23;Belastung LSV;-7.00;90703.14;03.04.23
03.04.23;Addebito TWINT Ogg The Farmer 0400001261452604;-6.00;90710.14;01.04.23
